Ticker,Type,Market Cap,Percentile,Cap Category,Type_Cap_Category
MMM,Value,55413571584,0.68389662027833,Large Cap,Value Large Cap
AOS,Growth,12267479040,0.10337972166998012,Small Cap,Growth Small Cap
ABT,Value,177772789760,0.9145129224652088,Large Cap,Value Large Cap
ABBV,Blend,284728885248,0.9502982107355865,Large Cap,Blend Large Cap
ACN,Blend,177483923456,0.9105367793240556,Large Cap,Blend Large Cap
ADBE,Growth,199252492288,0.9284294234592445,Large Cap,Growth Large Cap
AMD,Growth,269762134016,0.9443339960238568,Large Cap,Growth Large Cap
AES,Blend,15343300608,0.1749502982107356,Small Cap,Blend Small Cap
AFL,Value,51066114048,0.6620278330019881,Mid Cap,Value Mid Cap
A,Value,38025990144,0.5308151093439364,Mid Cap,Value Mid Cap
APD,Value,59289014272,0.6998011928429424,Large Cap,Value Large Cap
ABNB,Blend,92007940096,0.8031809145129225,Large Cap,Blend Large Cap
AKAM,Growth,14049719296,0.15308151093439365,Small Cap,Growth Small Cap
ALB,Value,14407634944,0.1610337972166998,Small Cap,Value Small Cap
ARE,Value,20811077632,0.31610337972166996,Small Cap,Value Small Cap
ALGN,Growth,19363205120,0.28429423459244535,Small Cap,Growth Small Cap
ALLE,Growth,10652026880,0.06958250497017893,Small Cap,Growth Small Cap
LNT,Blend,13200955392,0.12922465208747516,Small Cap,Blend Small Cap
ALL,Value,44211044352,0.5904572564612326,Mid Cap,Value Mid Cap
GOOGL,Growth,2139948711936,0.9920477137176938,Large Cap,Growth Large Cap
GOOG,Growth,2139951595520,0.9940357852882704,Large Cap,Growth Large Cap
MO,Value,79440388096,0.7733598409542743,Large Cap,Value Large Cap
AMZN,Growth,1836140462080,0.9900596421471173,Large Cap,Growth Large Cap
AMCR,Blend,14699108352,0.16699801192842942,Small Cap,Blend Small Cap
AEE,Value,19565578240,0.29025844930417494,Small Cap,Value Small Cap
AAL,Blend,7545034752,0.013916500994035786,Small Cap,Blend Small Cap
AEP,Value,47572758528,0.6302186878727635,Mid Cap,Value Mid Cap
AXP,Blend,172632719360,0.9065606361829026,Large Cap,Blend Large Cap
AIG,Value,52310310912,0.6719681908548708,Large Cap,Value Large Cap
AMT,Blend,91405688832,0.7992047713717694,Large Cap,Blend Large Cap
AWK,Value,25477005312,0.39363817097415504,Mid Cap,Value Mid Cap
AMP,Blend,43366240256,0.5864811133200796,Mid Cap,Blend Mid Cap
AME,Blend,39252684800,0.5506958250497018,Mid Cap,Blend Mid Cap
AMGN,Value,164068655104,0.9005964214711729,Large Cap,Value Large Cap
APH,Blend,79501950976,0.7753479125248509,Large Cap,Blend Large Cap
ADI,Blend,116357922816,0.8349900596421471,Large Cap,Blend Large Cap
ANSS,Growth,27713386496,0.4234592445328032,Mid Cap,Growth Mid Cap
AON,Blend,61237272576,0.705765407554672,Large Cap,Blend Large Cap
APA,Growth,11332492288,0.07952286282306163,Small Cap,Growth Small Cap
AAPL,Growth,2947980722176,0.9980119284294234,Large Cap,Growth Large Cap
AMAT,Growth,178080858112,0.9165009940357853,Large Cap,Growth Large Cap
APTV,Value,22651883520,0.3499005964214712,Mid Cap,Value Mid Cap
ACGL,Growth,38536949760,0.5407554671968191,Mid Cap,Growth Mid Cap
ADM,Value,30872709120,0.4572564612326044,Mid Cap,Value Mid Cap
ANET,Growth,93272498176,0.805168986083499,Large Cap,Growth Large Cap
AJG,Blend,55356657664,0.6819085487077535,Large Cap,Blend Large Cap
AIZ,Blend,9017976832,0.04572564612326044,Small Cap,Blend Small Cap
T,Value,130640486400,0.856858846918489,Large Cap,Value Large Cap
ATO,Value,17489659904,0.24652087475149106,Small Cap,Value Small Cap
ADSK,Blend,43125268480,0.5765407554671969,Mid Cap,Blend Mid Cap
ADP,Blend,100243554304,0.8111332007952287,Large Cap,Blend Large Cap
AZO,Blend,47487848448,0.6282306163021869,Mid Cap,Blend Mid Cap
AVB,Value,27396397056,0.4194831013916501,Mid Cap,Value Mid Cap
AVY,Value,18333147136,0.2644135188866799,Small Cap,Value Small Cap
AXON,Growth,21256847360,0.33001988071570576,Small Cap,Growth Small Cap
BKR,Value,33630994432,0.48906560636182905,Mid Cap,Value Mid Cap
BALL,Value,21549543424,0.33399602385685884,Mid Cap,Value Mid Cap
BAC,Value,312736612352,0.9542743538767395,Large Cap,Value Large Cap
BK,Value,44577312768,0.5964214711729622,Mid Cap,Value Mid Cap
BBWI,Blend,11617159168,0.0874751491053678,Small Cap,Blend Small Cap
BAX,Value,17371582464,0.23856858846918488,Small Cap,Value Small Cap
BDX,Value,67040727040,0.731610337972167,Large Cap,Value Large Cap
BRK-B,Blend,896376176640,0.9860834990059643,Large Cap,Blend Large Cap
BBY,Blend,18350977024,0.2664015904572565,Small Cap,Blend Small Cap
BIO,Blend,8147311104,0.02982107355864811,Small Cap,Blend Small Cap
TECH,Blend,12163985408,0.10139165009940358,Small Cap,Blend Small Cap
BIIB,Value,32750587904,0.48111332007952284,Mid Cap,Value Mid Cap
BLK,Value,114723659776,0.8330019880715706,Large Cap,Value Large Cap
BX,Blend,145690525696,0.8846918489065606,Large Cap,Blend Large Cap
BA,Blend,109031940096,0.8250497017892644,Large Cap,Blend Large Cap
BKNG,Growth,128122118144,0.852882703777336,Large Cap,Growth Large Cap
BWA,Blend,8124703232,0.02584493041749503,Small Cap,Blend Small Cap
BXP,Blend,10691084288,0.07157057654075547,Small Cap,Blend Small Cap
BSX,Blend,111101501440,0.8290258449304175,Large Cap,Blend Large Cap
BMY,Value,83293544448,0.7833001988071571,Large Cap,Value Large Cap
AVGO,Growth,615677952000,0.9821073558648111,Large Cap,Growth Large Cap
BR,Growth,23726999552,0.36182902584493043,Mid Cap,Growth Mid Cap
BRO,Growth,25532637184,0.3956262425447316,Mid Cap,Growth Mid Cap
BF-B,Blend,21659815936,0.3379721669980119,Mid Cap,Blend Mid Cap
BLDR,Growth,19625543680,0.294234592445328,Small Cap,Growth Small Cap
BG,Value,15234206720,0.17296222664015903,Small Cap,Value Small Cap
CDNS,Growth,77914685440,0.7713717693836978,Large Cap,Growth Large Cap
CZR,Growth,7682844672,0.019880715705765408,Small Cap,Growth Small Cap
CPT,Blend,10935818240,0.07554671968190854,Small Cap,Blend Small Cap
CPB,Blend,13229811712,0.1312127236580517,Small Cap,Blend Small Cap
COF,Value,52563922944,0.6759443339960238,Large Cap,Value Large Cap
CAH,Value,24178896896,0.3717693836978131,Mid Cap,Value Mid Cap
KMX,Blend,11053796352,0.0775347912524851,Small Cap,Blend Small Cap
CCL,Growth,19754799104,0.2962226640159046,Small Cap,Growth Small Cap
CARR,Blend,56934944768,0.6938369781312127,Large Cap,Blend Large Cap
CTLT,Blend,9734914048,0.04970178926441352,Small Cap,Blend Small Cap
CAT,Blend,165554208768,0.904572564612326,Large Cap,Blend Large Cap
CBOE,Growth,18190592000,0.2584493041749503,Small Cap,Growth Small Cap
CBRE,Value,27021989888,0.415506958250497,Mid Cap,Value Mid Cap
CDW,Blend,30054080512,0.441351888667992,Mid Cap,Blend Mid Cap
CE,Growth,16605807616,0.2147117296222664,Small Cap,Growth Small Cap
COR,Value,44618203136,0.5984095427435387,Mid Cap,Value Mid Cap
CNC,Value,38204432384,0.536779324055666,Mid Cap,Value Mid Cap
CNP,Value,19517980672,0.2882703777335984,Small Cap,Value Small Cap
CF,Growth,14573209600,0.16500994035785288,Small Cap,Growth Small Cap
CHRW,Blend,10113495040,0.061630218687872766,Small Cap,Blend Small Cap
CRL,Blend,10737098752,0.073558648111332,Small Cap,Blend Small Cap
SCHW,Value,133968297984,0.8667992047713717,Large Cap,Value Large Cap
CHTR,Growth,41353891840,0.5685884691848907,Mid Cap,Growth Mid Cap
CVX,Value,296814247936,0.952286282306163,Large Cap,Value Large Cap
CMG,Growth,85959467008,0.7892644135188867,Large Cap,Growth Large Cap
CB,Value,109969440768,0.827037773359841,Large Cap,Value Large Cap
CHD,Growth,26166407168,0.40755467196819084,Mid Cap,Growth Mid Cap
CI,Value,97897578496,0.8091451292246521,Large Cap,Value Large Cap
CINF,Value,18423492608,0.268389662027833,Small Cap,Value Small Cap
CTAS,Blend,68788871168,0.7375745526838966,Large Cap,Blend Large Cap
CSCO,Value,187339669504,0.9224652087475149,Large Cap,Value Large Cap
C,Value,118852591616,0.8409542743538767,Large Cap,Value Large Cap
CFG,Value,16057656320,0.1988071570576541,Small Cap,Value Small Cap
CLX,Value,16338172928,0.20675944333996024,Small Cap,Value Small Cap
CME,Blend,73085992960,0.7514910536779325,Large Cap,Blend Large Cap
CMS,Value,18793101312,0.27435387673956263,Small Cap,Value Small Cap
KO,Blend,271099904000,0.9463220675944334,Large Cap,Blend Large Cap
CTSH,Value,32889714688,0.4831013916500994,Mid Cap,Value Mid Cap
CL,Blend,76268199936,0.7634194831013916,Large Cap,Blend Large Cap
CMCSA,Value,157062905856,0.8906560636182903,Large Cap,Value Large Cap
CMA,Blend,6793758208,0.003976143141153081,Small Cap,Blend Small Cap
CAG,Blend,14284522496,0.1550695825049702,Small Cap,Blend Small Cap
COP,Blend,135618838528,0.8727634194831014,Large Cap,Blend Large Cap
ED,Value,32698701824,0.47912524850894633,Mid Cap,Value Mid Cap
STZ,Value,45786083328,0.610337972166998,Mid Cap,Value Mid Cap
CEG,Blend,68484804608,0.73558648111332,Large Cap,Blend Large Cap
COO,Growth,18779006976,0.27236580516898606,Small Cap,Growth Small Cap
CPRT,Growth,51059531776,0.6600397614314115,Mid Cap,Growth Mid Cap
GLW,Value,31917623296,0.4691848906560636,Mid Cap,Value Mid Cap
CPAY,Growth,18808768512,0.27634194831013914,Small Cap,Growth Small Cap
CTVA,Value,38988836864,0.5467196819085487,Mid Cap,Value Mid Cap
CSGP,Blend,31931271168,0.4711729622266402,Mid Cap,Blend Mid Cap
COST,Blend,359084195840,0.9642147117296223,Large Cap,Blend Large Cap
CTRA,Growth,21225525248,0.32803180914512925,Small Cap,Growth Small Cap
CCI,Value,44538609664,0.5944333996023857,Mid Cap,Value Mid Cap
CSX,Blend,65978888192,0.7236580516898609,Large Cap,Blend Large Cap
CMI,Value,38535032832,0.5387673956262425,Mid Cap,Value Mid Cap
CVS,Value,74820050944,0.757455268389662,Large Cap,Value Large Cap
DHR,Value,190208409600,0.9264413518886679,Large Cap,Value Large Cap
DRI,Growth,17950400512,0.2544731610337972,Small Cap,Growth Small Cap
DVA,Growth,12902806528,0.12127236580516898,Small Cap,Growth Small Cap
DAY,Growth,7809733632,0.02385685884691849,Small Cap,Growth Small Cap
DECK,Growth,27832059904,0.4254473161033797,Mid Cap,Growth Mid Cap
DE,Blend,103272611840,0.8190854870775348,Large Cap,Blend Large Cap
DAL,Growth,32923871232,0.4850894632206759,Mid Cap,Growth Mid Cap
DVN,Value,31018561536,0.4592445328031809,Mid Cap,Value Mid Cap
DXCM,Blend,47232925696,0.6222664015904572,Mid Cap,Blend Mid Cap
FANG,Growth,35536826368,0.5069582504970179,Mid Cap,Growth Mid Cap
DLR,Blend,48120619008,0.6341948310139165,Mid Cap,Blend Mid Cap
DFS,Growth,30738475008,0.44930417495029823,Mid Cap,Growth Mid Cap
DG,Value,30105827328,0.4433399602385686,Mid Cap,Value Mid Cap
DLTR,Value,25739048960,0.40159045725646125,Mid Cap,Value Mid Cap
D,Value,45196337152,0.6043737574552683,Mid Cap,Value Mid Cap
DPZ,Growth,17739372544,0.2524850894632207,Small Cap,Growth Small Cap
DOV,Value,25262383104,0.38767395626242546,Mid Cap,Value Mid Cap
DOW,Value,40525762560,0.5646123260437376,Mid Cap,Value Mid Cap
DHI,Growth,48672313344,0.6461232604373758,Mid Cap,Growth Mid Cap
DTE,Value,24114366464,0.36779324055666,Mid Cap,Value Mid Cap
DUK,Value,79932121088,0.7773359840954275,Large Cap,Value Large Cap
DD,Value,34351425536,0.4970178926441352,Mid Cap,Value Mid Cap
EMN,Blend,11916306432,0.09741550695825049,Small Cap,Blend Small Cap
ETN,Blend,133104058368,0.8628230616302187,Large Cap,Blend Large Cap
EBAY,Value,27218440192,0.41749502982107356,Mid Cap,Value Mid Cap
ECL,Blend,66309349376,0.7276341948310139,Large Cap,Blend Large Cap
EIX,Value,29568266240,0.43339960238568587,Mid Cap,Value Mid Cap
EW,Blend,52359913472,0.6739562624254473,Large Cap,Blend Large Cap
EA,Blend,35396444160,0.5049701789264414,Mid Cap,Blend Mid Cap
ELV,Value,125152436224,0.8489065606361829,Large Cap,Value Large Cap
LLY,Growth,779655249920,0.9840954274353877,Large Cap,Growth Large Cap
EMR,Value,64166735872,0.7176938369781312,Large Cap,Value Large Cap
ENPH,Growth,17402458112,0.24055666003976142,Small Cap,Growth Small Cap
ETR,Value,24020774912,0.36381709741550694,Mid Cap,Value Mid Cap
EOG,Blend,71580254208,0.7415506958250497,Large Cap,Blend Large Cap
EPAM,Growth,10315384832,0.06560636182902585,Small Cap,Growth Small Cap
EQT,Value,18145015808,0.25646123260437376,Small Cap,Value Small Cap
EFX,Blend,28602349568,0.4274353876739563,Mid Cap,Blend Mid Cap
EQIX,Blend,72411144192,0.7455268389662028,Large Cap,Blend Large Cap
EQR,Value,24644548608,0.3817097415506958,Mid Cap,Value Mid Cap
ESS,Value,17267695616,0.2345924453280318,Small Cap,Value Small Cap
EL,Value,44232454144,0.5924453280318092,Mid Cap,Value Mid Cap
ETSY,Growth,7421737472,0.009940357852882704,Small Cap,Growth Small Cap
EG,Value,16989113344,0.22465208747514911,Small Cap,Value Small Cap
EVRG,Blend,12567918592,0.10934393638170974,Small Cap,Blend Small Cap
ES,Value,20864063488,0.31809145129224653,Small Cap,Value Small Cap
EXC,Value,37551124480,0.5228628230616302,Mid Cap,Value Mid Cap
EXPE,Growth,14950677504,0.1709741550695825,Small Cap,Growth Small Cap
EXPD,Growth,17077366784,0.2286282306163022,Small Cap,Growth Small Cap
EXR,Value,31915558912,0.4671968190854871,Mid Cap,Value Mid Cap
XOM,Blend,526020149248,0.9721669980119284,Large Cap,Blend Large Cap
FFIV,Blend,9903567872,0.0536779324055666,Small Cap,Blend Small Cap
FDS,Growth,15408693248,0.17892644135188868,Small Cap,Growth Small Cap
FICO,Growth,31875332096,0.46520874751491054,Mid Cap,Growth Mid Cap
FAST,Blend,37776654336,0.5268389662027833,Mid Cap,Blend Mid Cap
FRT,Blend,8437794816,0.03578528827037773,Small Cap,Blend Small Cap
FDX,Value,62494732288,0.7117296222664016,Large Cap,Value Large Cap
FIS,Value,42208325632,0.5705765407554672,Mid Cap,Value Mid Cap
FITB,Value,25596962816,0.3996023856858847,Mid Cap,Value Mid Cap
FSLR,Value,29089462272,0.4294234592445328,Mid Cap,Value Mid Cap
FE,Value,23170275328,0.3558648111332008,Mid Cap,Value Mid Cap
FI,Blend,88173142016,0.7932405566600398,Large Cap,Blend Large Cap
FMC,Blend,7607656960,0.015904572564612324,Small Cap,Blend Small Cap
F,Value,48200130560,0.6361829025844931,Mid Cap,Value Mid Cap
FTNT,Growth,45316800512,0.6083499005964215,Mid Cap,Growth Mid Cap
FTV,Growth,26205038592,0.4095427435387674,Mid Cap,Growth Mid Cap
FOXA,Blend,15482895360,0.18091451292246521,Small Cap,Blend Small Cap
FOX,Blend,15483011072,0.18290258449304175,Small Cap,Blend Small Cap
BEN,Blend,12417966080,0.1073558648111332,Small Cap,Blend Small Cap
FCX,Blend,75746115584,0.7614314115308151,Large Cap,Blend Large Cap
GRMN,Growth,31471980544,0.46322067594433397,Mid Cap,Growth Mid Cap
IT,Growth,32579190784,0.47713717693836977,Mid Cap,Growth Mid Cap
GE,Blend,180763901952,0.9184890656063618,Large Cap,Blend Large Cap
GEHC,Value,35604271104,0.5089463220675944,Mid Cap,Value Mid Cap
GEV,Blend,48211730432,0.6381709741550696,Mid Cap,Blend Mid Cap
GEN,Blend,15547204608,0.1848906560636183,Small Cap,Blend Small Cap
GNRC,Growth,8923045888,0.041749502982107355,Small Cap,Growth Small Cap
GD,Value,82246090752,0.7813121272365805,Large Cap,Value Large Cap
GIS,Value,38812741632,0.5447316103379721,Mid Cap,Value Mid Cap
GM,Value,51306147840,0.6640159045725647,Mid Cap,Value Mid Cap
GPC,Value,20078559232,0.30019880715705766,Small Cap,Value Small Cap
GILD,Value,80070770688,0.7793240556660039,Large Cap,Value Large Cap
GPN,Value,25997211648,0.40357852882703776,Mid Cap,Value Mid Cap
GL,Blend,7636240384,0.017892644135188866,Small Cap,Blend Small Cap
GS,Value,147210813440,0.8866799204771372,Large Cap,Value Large Cap
HAL,Value,32490547200,0.47514910536779326,Mid Cap,Value Mid Cap
HIG,Value,30595854336,0.44731610337972166,Mid Cap,Value Mid Cap
HAS,Blend,8322332160,0.033797216699801194,Small Cap,Blend Small Cap
HCA,Blend,88985280512,0.7952286282306164,Large Cap,Blend Large Cap
DOC,Blend,14005262336,0.15109343936381708,Small Cap,Blend Small Cap
HSIC,Blend,8879055872,0.039761431411530816,Small Cap,Blend Small Cap
HSY,Blend,40006963200,0.5566600397614314,Mid Cap,Blend Mid Cap
HES,Growth,47480061952,0.6262425447316103,Mid Cap,Growth Mid Cap
HPE,Value,22941999104,0.3538767395626243,Mid Cap,Value Mid Cap
HLT,Growth,50159230976,0.6520874751491054,Mid Cap,Growth Mid Cap
HOLX,Value,17218553856,0.23061630218687873,Small Cap,Value Small Cap
HD,Blend,332061769728,0.9602385685884692,Large Cap,Blend Large Cap
HON,Value,131663298560,0.8608349900596421,Large Cap,Value Large Cap
HRL,Growth,16986489856,0.22266401590457258,Small Cap,Growth Small Cap
HST,Growth,12822580224,0.11928429423459244,Small Cap,Growth Small Cap
HWM,Growth,34552692736,0.5009940357852882,Mid Cap,Growth Mid Cap
HPQ,Value,35717439488,0.510934393638171,Mid Cap,Value Mid Cap
HUBB,Growth,20877948928,0.32007952286282304,Small Cap,Growth Small Cap
HUM,Value,43153817600,0.5785288270377733,Mid Cap,Value Mid Cap
HBAN,Value,20173559808,0.30218687872763417,Small Cap,Value Small Cap
HII,Blend,9980568576,0.05765407554671968,Small Cap,Blend Small Cap
IBM,Value,153268912128,0.8886679920477137,Large Cap,Value Large Cap
IEX,Value,15793088512,0.19483101391650098,Small Cap,Value Small Cap
IDXX,Blend,41041756160,0.5666003976143141,Mid Cap,Blend Mid Cap
ITW,Blend,72436596736,0.7475149105367793,Large Cap,Blend Large Cap
ILMN,Value,16611804160,0.21669980119284293,Small Cap,Value Small Cap
INCY,Blend,12994371584,0.12326043737574553,Small Cap,Blend Small Cap
